userName;content;score;at
Zainal Arief munandar;Aplikasi buruk sepanjang sejarah masa udah nuker im3 poin kuotanya ga masuk dongo apk ny;1;29/01/2024 13:06
Fery Hermawan;Pket mahal2 di mym3 dan jaringan gak setabil bangeg;1;29/01/2024 13:05
khabib agung s;Pelayanan buruk, beli pulsa sering nyangkut, paketan ga ada yng murah, ga ada paketan darurat, beli pulsa gede dapet point kecil KECEWA;1;29/01/2024 13:04
Putraadelpa;sangat membantu;5;29/01/2024 13:00
Ahlis 798;Im3 kontolll g jls,mana skrng paket nya mahal sinyal nya susah tlpn operator susah,udh hapus aja kartu IM3 dari indo,g guna jg di indo;1;29/01/2024 12:59
Tursina Gusmiarini;Sinyal im3 sangat tidak bagus, harga kuota yang semakin mahal gak dibarengin sama sinyalnya, sinyalnya gaada perubahan dan malah makin parah;1;29/01/2024 12:58
Fhera Yolanda;ngus;5;29/01/2024 12:56
Nisa Nia;SMS tiada henti dari Indosat;1;29/01/2024 12:54
Pramudyaananta Ananta;Indosat Jing lagi main ml malah mati sinyal nya padahal gk listrik gk mati kuota baru beli sangat mengecewakan tolong lah Im3 di buat kaya semarfen walaupun mati lampu sinyal ttp ada;2;29/01/2024 12:54
Jeka Jekarudin;sangat bermamfaat;5;29/01/2024 12:49
Dhika Satria;sangat baik;5;29/01/2024 12:46
Ardi Smith;mantap;5;29/01/2024 12:43
Rosalani dewi;sinyal nya nge leg terus Indosat... padahal gerai tidak jauh dari rumah saya.giliran paket mau habis waktunya baru lancar... paket yg saya pake ini juga naik terus harga nya;2;29/01/2024 12:43
Angga Suprianga;is the best;5;29/01/2024 12:42
Herry Lakone;ok mantap.;5;29/01/2024 12:42
cak Imin;Saya pengguna pasca bayar lebih dari satu tahun berjalan, sayangnya makin kesini kualitas jaringan sekelas GPRS, sialllll nggak ada perbaikan sama sekali khan dancuk????????;1;29/01/2024 12:40
Artha AdeRhay;Sinyal semakin hancur, jam 8 keatas sinyal hilang, pagi,siang sore sinyal cuma di kisaran 10-15 KB/s, apaan nih? Main game jadi sulit, tolong di perbaiki sinyal nya, jangan cuan mulu dipikirkan.;1;29/01/2024 12:37
Alfin Kareskalo;setiap 500mb jaringannya menyambung ulang baru jaringannya eror.misalnya:Indosat sedang dalam pemilu.tolong perbaiki;1;29/01/2024 12:32
Suwatdi_ Sutinah;terimakasih;5;29/01/2024 12:29
Nurul Faridah;paket datanya murah murah keren im3;5;29/01/2024 12:26
Lico Likardo;apk nya sangat baik dan bagus;2;29/01/2024 12:25
Satriya langit;indosat gimana si...lokasi di bawah tower indosat..tpi lemotnya minta ampun....aduh..parah ini indosat..;1;29/01/2024 12:25
Kusnadi Sunarjo;Cukup praktis & menjanjikan, permudah utk pembelian pulsa ini.;5;29/01/2024 12:21
Abdul Hamidusman;Seringkali disaat buka aplikasinya gangguan jaringan..;1;29/01/2024 12:19
Jono;tolong lah di perbaiki lagi untuk jaringannya, sering banget delay delay ga jelas, makin ke sini makin buruk,makin jelek aja Indosat apa lagi kalo hujan dan mati listrik,ampun dah sinyalnya;1;29/01/2024 12:18
Amry Slamet;sangat memuaskan;5;29/01/2024 12:17
Rizkyaja12 Rizkyaja123;Mayan;5;29/01/2024 12:12
brata nareswari21;Jaringan SIALAN ganti aja JARINGAN PANCING , kualitas JELEK mending tutup aja , Jaringan muter² reconnect terus , ga stabil ,, Kuota MAHAL ,, JANGAN RUGIKAN CUSTOMER;1;29/01/2024 12:10
Yasin Dulzzz;update gajelas, jadi gabisa masukin no dana update gaje tolol??;1;29/01/2024 12:03
Muhammad Azzis;banyak kegunaan dan harganya jauh lebih murah;5;29/01/2024 12:03
Raden Koyoz'z;sinyalnya bagus.. meskipun lampu mati.. tapi sinyalnya tetap top;5;29/01/2024 12:03
Suroto Gondang;semoga kedepannya sinyal lebih baik lagi untuk wilayah sragen;4;29/01/2024 12:01
Dlilzikrillah;Baik;5;29/01/2024 12:01
Aldo gaming;Aku kasih bintang 4 soalnya banyak diskon, untuk sinyal di desa cukup bagus, tapi sering terjadi lag, jadi kurang nyaman saat main game online tiba tiba lag, kalo 1 kali atau 2 kali si gak masalah tapi ini sering terjadi;4;29/01/2024 12:00
iqbal ihsan kamil;sinyale jelek mulu;1;29/01/2024 12:00
Sandi San;mntap;5;29/01/2024 11:56
Udik Udik;Tolong min diperhatiin dan seksama Awal tahun knp jaringan IM3 PARAH bgt...kesalahan dmn Yg anehnya LG kita diluar luar terbuka Mash saja TDK dpt jaringan Apakah harus pake mode pesawat baru dpt jaringan...itupun klo dpt sinyal Dan yg paling penting kurangin promo atau apalah itu mlalui SMS Yg diutamain adalah kpuasan pelanggan BKN keluhan pelanggan Menurut saya bintang 1 pantas dehh;1;29/01/2024 11:55
Sri Wulan Dari;sangat buruk jringnya tolong dong jringnnya di bnerin mau masuk aplikasinya aja sush kek mna itu... Lagi dn lgi jringan di deli Serdang sumut ngelek ngelek alias putus putus gimna sih ktnya mau di up;1;29/01/2024 11:54
Iksal Tfc;mantap;5;29/01/2024 11:53
Deni Saputra;sangat luar biasa myIm3;5;29/01/2024 11:52
Arfan Raffan;Mayan lahh;4;29/01/2024 11:52
alibmarija;Sering gangguan anehh..padahal paketannya harganya mahal...providerr apaaann sinyalll benerrrinnnn kemarin gangguan sekarang laiiiii;5;29/01/2024 11:52
Turu Turu;Min bisa kaan jangan naruh paket app games masalahnya tu paket gk guna alias gk bisa di pakek tertera bisa main ml eh pake ngebuka aja gk bisaa nyesel bet;4;29/01/2024 11:51
Bastian Pada;sangat baik;5;29/01/2024 11:49
Armin Samsung;harganya terjangkau??????;5;29/01/2024 11:48
Nopan Maulana;Gimana sih im3 sekarang udah mah harga paket ny makin mahal terus ganguangn Mulu sinyal na kadang kadang ngilang gajelas padahal lagi di butuhin banget buat nyelesain tugas tugas dari sekolah yg bersifat daring. Saran saya perbaiki lagi masalah jaringan ny jangan tiba tiba ngilang gajelas;2;29/01/2024 11:46
Siti amanda Sari;Udh di update malah gabisa di buka.selalu saya update tapi masih gabisa di buka.udh bbrapa buln;1;29/01/2024 11:46
Sari Yanto;sangat menyenangkan;5;29/01/2024 11:42
ReiyXer;Saya beli kouta sudah berhasil dan saldonya berkurang kok di aplikasi my im3nya gagal dan tidak ada kouta masuk!!!;1;29/01/2024 11:37
Thomas Nih;"internet lemot bikin emosi padahal lagi ada kerjaan tapi semenjak aku pindah Telkom internet ga lemot jadi kawan"" buat yg ga tahan sama internet lemot dari Indosat pindah ke yg lain aja";1;29/01/2024 11:34
Zall Rizal;Tidak bisa tukar impoin;1;29/01/2024 11:33
Yanss _349;MAKIN LAMA MAKIN GA JELASS!!!!!!;1;29/01/2024 11:27
Ridwan Syah;mantap;5;29/01/2024 11:23
Taat Dwisuryo;Plis kali ini di perbaikan lagi appk nya saya lagi main game tiba tiba sinyal hilang tapi gak lama langsung pulih lagi cukup menggangu pengguna may 3 pliss itu aja saran saya;5;29/01/2024 11:20
Mustafid;Masalah jaringan yang tak kunjung selesai, sinyal juga sering hilang;2;29/01/2024 11:12
Dita Barus;Aku menyesal pakai ini, tobat! Mengecewakan!!;1;29/01/2024 11:12
Ahmad Sukra;ok;5;29/01/2024 11:12
Komarun 88;mantap aplikasinya;5;29/01/2024 11:10
Rajab Kece;sangat bagussss cocok buat yang malas buka telpon;5;29/01/2024 11:07
Izmu Bima;Mau ngomong sama Customer Service nya dimana ya? Mau tanya apakah sinyal indosat ketutupan dukhon?? Atau emang mau bangkrut??;1;29/01/2024 11:03
Adang Ahrum;Sinyal m3 makin ancur saja. Kecewa berat ??????;1;29/01/2024 11:01
Rudy Andescore;bagus;5;29/01/2024 11:01
kusam bel;kasih bintang dua dulu, kalau optimal baru tambah bintang.;2;29/01/2024 11:00
Sabar Putra;sangat baik;5;29/01/2024 11:00
Risti Yana;sayang bagus sekali;5;29/01/2024 10:58
Asha Akifa;good;5;29/01/2024 10:54
Marno Sls;bagus;5;29/01/2024 10:50
Dian Prasetia;Indosat yang saya hormati. Saya sudah bayar tagihan pulsa darurat sebesar Rp 14.000. lalu saya membeli pulsa sebesar Rp 10.000. tapi kenapa saat saya hendak membeli kuota dengan pulsa tiba-tiba pulsa berkurang dengan sendirinya? Padahal saya belum membeli paket internet. Saya sebagai pelangan setia sangat kecewa dan akan beralih ke kartu SIM lain. Saya tidak akan pernah menggunakan Indosat lagi. Harga paket mahal, sinyal internet yang lemot, dan kurangnya variasi paket internet. Balikin pulsanya;1;29/01/2024 10:49
Ralfiando N. Palit;aku dari dulu suka pake Indosat karna murah meskipun jaringan nya lemot, tpi sekarang Udah jaringan lemot mahal pula mending telkom mahal tpi jaringan bagus;1;29/01/2024 10:49
taman ornamen;best;5;29/01/2024 10:48
beni ben;saya ingin kota geratis;5;29/01/2024 10:48
Rusdi Saputra;Selma ini aku pake Indosat tdk ada masalah;5;29/01/2024 10:46
ricky F;"jaringan nya bagus banget , sampai merah di mana""";2;29/01/2024 10:43
Erik Nurdiansah;Jaringan nya makin gajelas lelet, plis lah perbaiki;4;29/01/2024 10:41
Tarmin;Wahai para pengguna setia IM3 downloadlah apk myIM3 sangat berguna sekali dan ada bonus bonusnya paket data....ayo gunakanlah karena untuk mempermudah cek pulsa,cek data, beli paket data dll. myIM3....YESSSSS????;5;29/01/2024 10:40
Ahmad Firdy;Lagggggggg;1;29/01/2024 10:38
Jaja arjuna;tolol;1;29/01/2024 10:36
Andi Mulyani;recomended bgt;5;29/01/2024 10:24
Chui official;Semakin kesini jaringan down terus indosat padahal kan quota msh ada tolong diperbaiki kualitas jaringan bikin kecewa. kartu 3 sama indosat sama semua.;1;29/01/2024 10:24
Rasa Wulan;gak bisa poin ditukar;1;29/01/2024 10:22
Putri Alida;Sangat baik;5;29/01/2024 10:17
Nasrulloh;mantap;1;29/01/2024 10:03
Ammar P;ya , klo bisa lebih murah lagi lah paketnya , pilihannya juga kurang banyak;5;29/01/2024 09:58
Wiwik Widuri;aplikasi yg sangat mudah digunakan dan banyak promo disaat tgl tua;5;29/01/2024 09:55
Azka Bastian;Kalau bisa ga pake bintang gua kosongin dah, makin sini makin parah jaringan nya, ganggu pekerjaan, cuma tau harga ga ada kualitas parah...;1;29/01/2024 09:45
Rizal Komandan;Sudah tidak karuan Im3 sekarang. . Paketdatanya sangat mahal.. saatnya pindah ke telkomsel.;1;29/01/2024 09:43
Leticia Sigarlaki;lee jeno;5;29/01/2024 09:38
Rfli Tb;Jaringan hilang mulu di tempat saya, tolong lah perbaiki jaringannya;1;29/01/2024 09:37
Sarma Dani;kerennnnn;5;29/01/2024 09:36
Kina Aja;sangat memusakan;5;29/01/2024 09:34
Agus Gunawan;Ko aneh My Im3 punya saya lebih mahal di bandingkan punya teman kouta nya aneh bin ajaib di situlah saya males pake indosat th.;1;29/01/2024 09:31
Reza ardiyansah Ardiyansah;antap;5;29/01/2024 09:30
Zimxz Editz;maaf karena saya memberikan rating cuman 2 jujur saya sangat kecewa karena saya bermain panjat Kouta tidak dapat² pedahal sudah bermain lebih dari 300 kali putar tapi tidak dapat juga tolong di perbaiki;2;29/01/2024 09:26
Ami Maryami;Daftar doang kudu pake pulsa kecewa m3 makin anehh gak jelas ini;1;29/01/2024 09:24
Aryasatya Bramantyo Darmawan;Sinyal burik,bapuk.Kuota belum waktunya habis,udah di bikin buffering.Provider dzalim,suka ngambilin sisa kuota customer.Payah.Ganti vendor bukannya jadi lebih baik malah makin bapuk.;1;29/01/2024 09:19
Jhonson Sinaga;Sangat baik. Pulsa Tiba tiba habis. Alasannya waktu beli paket datanya aktif, padahal sebelumnya masih ada sisa data. Itu pun kalau mau komplain harus nunggu satu jam, dan tidak ada hasil. Makasih... Dan bantuan wa official gak membantu, nambah buat emosi;1;29/01/2024 09:17
Paisal Hartono;kurang puas;1;29/01/2024 09:16
Lucky Kyy;sipl;5;29/01/2024 09:11
Rendi Prastio;HP leg;5;29/01/2024 09:09
Alfat Fahrezi;bagus indosat indonesia;5;29/01/2024 09:01
Ayu Lestari;Oke bgt;5;29/01/2024 09:01
irgi mandagi;sangat puas;5;29/01/2024 08:53
Ferdi Adityaferando;sangat baguss dan bisa mem bantu kita;5;29/01/2024 08:51
Santoso Aja;terbaki;5;29/01/2024 08:51
Dani Putra;sinyal jelek harga paket mahal masa harga paket ningkat kualitas sinyal masi jelek;1;29/01/2024 08:45
Diki Darmawan;makasi;4;29/01/2024 08:34
Elsaoktaviana Elsa;sy sangat puas pakai kartu m3;5;29/01/2024 08:27
Hendro aj (H3ndr0);Dengan pakai im3,beli pulsa dan cek data jadi lebih mudah;5;29/01/2024 08:26
Golden Boy;Dalam 1 hari 2 kali hilang data sinyal.. Semakin kesini semakin sering Indosat gangguan sinyal .!!;1;29/01/2024 08:26
Diky Aja;baik;5;29/01/2024 08:21
Irfan Aldandy;jaringan lo burik banget woi;1;29/01/2024 08:17
Thon Badawi;Okeh mantap;5;29/01/2024 08:15
Maman Sukirman;makasih;5;29/01/2024 08:10
Nuril Mazidah;puas pake im3, paket data terbilang lumayan murah, sinyal juga oke;5;29/01/2024 08:07
Wirda Siregar;Deskripsi;5;29/01/2024 08:03
Muhadam Lapadi;promo nya pada mahal;5;29/01/2024 08:00
Asmawi Asmawi;ok;5;29/01/2024 07:55
Hamba Allah;antapp;1;29/01/2024 07:55
Zaini Tundoon;jrngan ny gk dukung bngt dri dlu;1;29/01/2024 07:53
Arya Kusuma;baguus;5;29/01/2024 07:52
oscar Rosano;murah kuota dan kapasitasnya pokoknya merakyat,perluas dong jaringan BTS nya;4;29/01/2024 07:52
Animers;Lu kalau nagsih sinyal tu yang bener woiii, gua dah ngeluarin duit buat beli kuota lu tapi lu malah ngasih sinyal macam taii, benerin sinyal lu taii;1;29/01/2024 07:49
Nur Aida;woww;5;29/01/2024 07:49
Magdalena Selvi;baik...menggunakan im3;5;29/01/2024 07:40
Petot Bgt;bangke lah pulsa kepotong gak jelas gak ada notif apa2 .. pulsa safe ?? tttaaaiii;1;29/01/2024 07:34
Nurholis Jawa;sangat memuaskan;5;29/01/2024 07:30
Mansvins 1508 II;"Sorry bintang 1, kurang nyaman sinyal tiba"" ilang muncul lgi, ilang tanpa alasan yang jelas, klo bisa kasih kejelasan min";1;29/01/2024 07:21
Moch Nifar Bilqist N;Kenapa sih suka tiba tiba lag parah padahal bagus awalnya,jadi semakin kesal sama myIM3 kenapa bisa gitu sih!!!;1;29/01/2024 07:20
Syariful Anwar;Kartu tolol jaringan lag mulu;1;29/01/2024 07:17
M. Alfin Syahril amri;bagus;5;29/01/2024 07:15
Abdullah Fakih;Ok Knnj;5;29/01/2024 07:09
Graceful Jr Sasamu;Wow Keren;5;29/01/2024 07:06
Zaki Elba;ini gimana kok trouble teruss yang parah malah gabisa.beli kuota padahal aku pengguna Indosat udah tiga tahun yaampunnnn mohon di perbaiki;2;29/01/2024 07:04
Raditya Radit;sinyal jeleg;1;29/01/2024 06:57
Kevin adhitya;Aplikasi jelek dikit dikit kalo isi pulsa selalu hangus terus situ kirim pesan sini pulsa hangus jem*ut emng,??;2;29/01/2024 06:52
Rafa Jekeh;pulsa gw juga ilang 23ribu lagi hadeh;1;29/01/2024 06:40
Iwan Pratama;kenapa setiap ada pulsa tiba2 hilang 1000 tiap hari , ngambilnya dikit2 udah kaya tuyul .;1;29/01/2024 06:36
Faris Alfarisi;jelek banget jaringan ,kuota 100gb rugi dong ??;2;29/01/2024 06:34
Farid Yao Chen;Aku Tidak bahas Aplikasinya ya, tapi bahas kendala. 1. Kesedotnya pulsa saat tidak dipakai, baru saja isi pulsa tiba-tiba pulsa kesedot padahal tidak aktifkan data seluler maupun nelpon & sms 2. Jaringan kurang cepat, kecepatan internet mentok 10mbps kadang 24mbps 3. Ketika Hujan Sinyal tiba-tiba down 4. Tidak adanya Bonus Kuota, ga seperti Axis & XL 5. Kuota Mahal Sinyal Ampes 6. Saat main game online sinyal bagus awalnya tiba-tiba Disconek sebentar terus bagus lagi memang dari sono apagimana?;1;29/01/2024 06:26
Ahmad Ar;ok;4;29/01/2024 06:23
A5aswad Anwar;Apkny bgs.....;5;29/01/2024 06:20
Baam Lan putra;bagus tolol yg gak donlot;5;29/01/2024 06:18
m. rohim nyell;Terimakasih atas layanannya yang sangat buruk, kali ini saya tidak akan mengunakan myIM3 samapai kapan pun Di sebabkan pulsa saya masih ada 10.000rp hilang seketika padahal saya tidak beli paketan dan saat itu saya masih punya paketan dan saat saya lihat paketan nya ada sih tapi cuma buat berapa jam trs paketannya hilang dang berubah menjadi paketan yang lama good myIM3 atas pelayanannya yang sangan buruk. Jadi temen-temen Jagan pernah pakek myIM3 lagi;1;29/01/2024 06:16
rudi ikhwanto;??;4;29/01/2024 06:12
Mochamad Asqolani;yang kecewa bukan cuma gw tapi banyak orang yang kecewa .perbaiki performa nya darinpada kehilangan banyak pengguna akirnya bangkrut beneran sory ini hanya sebuah masukan .data gw gak keluar;1;29/01/2024 06:06
Erwan Fahmi;Jaringan sangat buruk;1;29/01/2024 06:01
Ramdn;sinyal lemot;1;29/01/2024 05:59
Jonhson Yocom;Nga bisa beli paket dari tadi cuma di proses mulu sama beli pulsa 150 yg keisi 149;1;29/01/2024 05:53
M Subandi;mempermudah;5;29/01/2024 05:51
Zaelani Yusuf;ok;5;29/01/2024 05:46
Alvirza Virza;keren;5;29/01/2024 05:43
FICO Realnojual2;Isi pulsa 10.000 tapi malah kesedot jadi 7500 gimana sih;1;29/01/2024 05:29
Sandy Firmansyahh;kuota;5;29/01/2024 05:29
Christian.G. Nahampun;sangat menyenangkan;5;29/01/2024 05:25
Sandry Suhandi;mantap;5;29/01/2024 05:25
robi Saputra;good;5;29/01/2024 05:24
Zan Rumetor;semoga jaringan di sulut di perluas;5;29/01/2024 05:06
Calam Akbar;terimakasih;5;29/01/2024 05:04
Wahyu Putra;??;5;29/01/2024 05:02
ze e;saya beli paketan 15 ribu 6gb 1 bulan tapi kok yang masuk cuman 3gb gimana nih nyesel saya pake kartu myim3;1;29/01/2024 04:56
Iwan Sach;promonya di perbanyak yahh;4;29/01/2024 04:52
Alghi fari;Saya sangat terganggu dengan pulsa darurat nya yang nyedot pulsa smpe hbis padahal di cek udah gk ad lagi tagihan pulsanya nih udah yg kdua kali nya ngisi pulsa malah hbis trus tolong yh buat M3 untuk diperbaiki lagi mna duit sekarat eh tau nya ilang lagi pulsa nya ?? intinya stop M3 dh ??;1;29/01/2024 04:42
Bayu Saputra;mantap;5;29/01/2024 04:41
Zafar Mouza;sangat bgus tp sayang knp sinyal di Jawa Tengah agak susah;5;29/01/2024 04:38
Rendy alakbar;bgus;5;29/01/2024 04:38
lepi dinata;tolong;5;29/01/2024 04:37
Siti Aisah;oke;5;29/01/2024 04:35
Pasik Pasik;ngelek banget anj;1;29/01/2024 04:34
Iwan Iwan;baguss;5;29/01/2024 04:33
Sriayu Rahayu;mantap;1;29/01/2024 04:32
M. IRHAM;"ngak ada kata""";5;29/01/2024 04:31
Riska Wati;sangat memuaskan;5;29/01/2024 04:29
Putrififilia Anggraini;terlalu mahal harga kuotanya;2;29/01/2024 04:27
MLCT GANTENG;????;5;29/01/2024 04:23
Rida Utami;practise, ekonomis;5;29/01/2024 04:22
Adzkia Davina;Wajib ganti provider sinyal nya akhir akhir ini gk bagus;1;29/01/2024 04:20
Biahmad Alawi Ash-Shiddiqi bia;Sangat berguna;1;29/01/2024 04:16
Diding phiningit;Saya rkyat ekonomi bawah.dulu masih ke jangkaw beli paketan m3.skrng sya mending ganti kartu 3 aja murah mriah..indosat smakin mahal bangt kuota nya pun smakin boros bngt cpet abis..sya rkyat Ekonomi bawah pasti nyari yg murah..;1;29/01/2024 04:16
Resky andrean;Kenapa kalau setiap cuaca gerimis atau hujan sebentar saja, atau lama pasti sinyal internet nya terganggu ? Itu saja yg ingin saya tau jawaban dari anda ??;5;29/01/2024 04:13
Siti Saripah;good;5;29/01/2024 04:13
Raffi Arisandi;bagus;5;29/01/2024 04:08
echika ulfiatun najwah;sinyal di tempatq sangat buruk.sering hilang sinyal alias toubel.apagi kalo hujan di jamin makin trobel.....????;1;29/01/2024 03:47
Dodi gusnadi;sinyal gaje mending xl;1;29/01/2024 03:45
Desty Ratu;Kenapa sih harus mahal mahal kak,kenapa yang favorit harus hilang;1;29/01/2024 03:39
Asrofi Romli;sangat puas;5;29/01/2024 03:34
Sunardi Sunardi;perlu di tingkatkan biar semakin mantap;5;29/01/2024 03:33
Novri Af;biar bintang yg brbicara;5;29/01/2024 03:24
satria sagara;Alhamdulillah Kembali bagus lg pertahankan, terimakasih;4;29/01/2024 03:17
Nazril Aril;bagus;5;29/01/2024 03:16
Pincak Cok;pulsa sering kepotong mana jaringan nyaa sering hilang gajelas bet;1;29/01/2024 03:02
Ika I;Kecewa aku pakai IM3 Baru ngisi paket internet 1 bulan Besoknya hilang sinyal sampai 3 hari. Sinyal sudah ada tapi internet nya udah gak bisa di pake lagi.;1;29/01/2024 03:02
Muh Zauj;"Sinyal ilang"" Mulu lama"" Males pakek m3";1;29/01/2024 02:58
Sopiyan Di;bagus;5;29/01/2024 02:55
Syam Bahrie;tolong di perbaiki sinyal di daerah permata hijau..di sapir pemata.. jelek amt klo hbs hujan sinyal mendem;2;29/01/2024 02:52
Mamah Noe noe;good jobs;5;29/01/2024 02:49
Yadi Putra;Gimana sih ini jarugan full paket banyak koo ngeleg nga karuan niat bikin jaringan nga sih ??;2;29/01/2024 02:48
Wiwin Kusniati;Sekarang Indosat makin ga jelas;1;29/01/2024 02:43
Its Hernitaa;ok;4;29/01/2024 02:37
GINTARTO DWI;bagus;5;29/01/2024 02:36
Alfat Novansyah;Harga naik terus, jaringan makin ampas;1;29/01/2024 02:31
Taran Saputra;CSnya buruk bgt yg Indira. Malah seharian ilang jaringannya lagi;1;29/01/2024 02:25
Roasih;mantap;5;29/01/2024 02:24
Rudi Ardiansyah;gajelas banget buat yang lain lancar giliran maen game langsung jumping;1;29/01/2024 02:12
Memet 123;ok;5;29/01/2024 02:11
Udin Thambayonkz037;M3 sekarang kek taik sinyalnya tiba² mati dendiri sinyalnya hadeh payah;1;29/01/2024 02:05
Sulistiyani Indah;sangat puas;5;29/01/2024 02:02
FATHAH ABDILLAH;Tolong kak ada kendala nih, saya belum pernah sama sekali merasakan jaringan dan sinyal Indosat Ooredoo Hutchison untuk di daerah saya belum masuk baru ada Telkomsel, padahal daerah saya sudah jadi kecamatan Bathin III Ulu kabupaten Bungo Jambi, mohon dibantu kak, segera ditindaklanjuti dan diperbaiki diperluas lagi pelayanan nya, terima kasih.;5;29/01/2024 01:55
psl psl;bagus aplikasi ini;5;29/01/2024 01:50
Fadil Dil;Ngeleg gangguan benerin dulu;1;29/01/2024 01:48
aAl news;Kecewa sih sama myim3 saya pengguna baru dan sudah 3x isi ulang dan ngambil kuota perbulan tapi reward 2gb yg di janjikan gak bisa di ambil padahal syarat mengambil sudah terpenuhi tapi gak bisa di ambil ya sia²dong,dan kayanya sekarang saya berhenti langganan di myim3 dan memakai kartu yang lain saja benar²mengecewakan;1;29/01/2024 01:47
Haikal Lutfi;Paket data nya semakin hari makin mahal ,;1;29/01/2024 01:45
ujungpangkahinterland;The Best;5;29/01/2024 01:44
Fauzi Gede;Mantaps banget dah gara gara kemarin tgl 26 trouble, di kasih 1gb 1hri buat apresiasi, kuota gw hilang padahal masih banyak gara gara kuota yang di kasih masa berlaku nya dah habis;1;29/01/2024 01:31
shinbi house;Cerita nya no yang m3 lain 2, 2 nya selamat anda dapat 1 gb 1 hari, karena kamarin lost sinyal parah, di sms nya jam 4 sore , Kan gue tau nya 1 hari itu 24 jam ketika jam di sms, pas di cek pagi2 , kuota bonus nya gak ada , alias di cek *557*8# nol ( zero ) Kalau loe gak niat ngasih bonus , jangan ngasih sekalian atau jangan ngomong 1 hari jalan tol....., baru 8 jam udah gak ada .;1;29/01/2024 01:28
Moeni Btg;kerennnn;1;29/01/2024 01:27
Ridha;buruk. jaringan sering mati sendiri walau tidak ada angin, hujan atau mati lampu.;1;29/01/2024 01:26
Brandon Lee;Min kasih kuota gratis lah masa udh lebih dari 1 tahun belum pernah dapet gratisan??;1;29/01/2024 01:26
Afandi;Di isi pulsa akses internet tidak d gunakan tapi kok tiba² berkurang, udah chatt sama indira tapi ga ada solusinya, tutor biar ga kesedot pulsa;2;29/01/2024 01:14
warga santuy;selalu jaringan bermasalah;1;29/01/2024 01:06
Mishal Alrapan;Mantap;5;29/01/2024 01:00
MR SUNADI;Sangat kecewa dengan jaringan sering trouble, sinyal sering hilang, padahal udah langganan bertahun2, masih sama, tolong diperbaiki lgi;2;29/01/2024 01:00
Dwi Yuliyanto;Sinyal kurang kencang;5;29/01/2024 00:47
wawan arya;puas;5;29/01/2024 00:47
Atik;Indosat kenapa ya kok lemot mulu ? Mana paketan sebulan 150k. Lama2 lu ngga laku;2;29/01/2024 00:42
Akhtar Ibura;ok;5;29/01/2024 00:41
vini adeliana;Udah 1 kali 24 jam gak bisa buka ig, gak bisa balas wa, lumpuh total . Harga paket mahal, jaringan astagfirullah ???????? Saya tambah lagi keluahan saya, 2 hari yang lalu sempat down lagi jaringannya, di dm twitter lama balas. Hari ini dari semalan down lagi untuk ketiga kalinya, bener² gak memperbaiki kesalahan, saya gak bisa ngapa² in ??????????;1;29/01/2024 00:40
Se Anugrah;mantap;5;29/01/2024 00:39
Christian Andreanto;mantap;5;29/01/2024 00:30
Rama Dani;mantap jaringan Nya;5;29/01/2024 00:28
Lesmana Hendra;puas banget;5;29/01/2024 00:28
Akhmad Syafrudin;i like it;5;29/01/2024 00:18
Aziiss Official;Game panjat Kouta sampah,terang2an menipu gabisa menang sama sekali!!!;1;29/01/2024 00:14
Riyansifu;keren;5;28/01/2024 23:49
Febrian batubara Batubara;Sudah oke??;5;28/01/2024 23:43
Dwi Rizky r;sangat membantu;5;28/01/2024 23:42
Oppah Ramadhan syt;jd mudah liat kuota internet;4;28/01/2024 23:36
Tabitha Maulida Khairun Muntasza;Setiap pembelian paket dari myIM3 selalu lama diprosesnya kadang bisa sampe sehari penuh, dijaman sekarang harusnya semua hal harusnya serba cepat.. agak laen myIM3 ini;2;28/01/2024 23:31
Labock Gombes26;sangat puas;5;28/01/2024 23:31
Farzz;"Aplikasi gk ada ??, di iklan nya buagus bet dialog nya ""SINYAL LANCAR"" ??, sinyal burik, boros, harga mahal ????. Untung kaga buntung iya";1;28/01/2024 23:29
NABIL MARVEL Yt;Kecewa sama Im3 karena katanya mau ngasih kuota gratis setelah update scam, mana ada kuota gratis php mulu, lagian katanya kuota 1GB udah kekirim, tapi manaa!?!?!?;1;28/01/2024 23:28
Dhimas Cakra;Tambakan fitur jaga pulsa seperti di Telkomsel. Karena sering menyedot pulsa saat kehabisan kuota, bahkan saat pemberitahuan habih kuota belum masuk.;1;28/01/2024 23:27
Gilang Saputra;Kouta mahal SIGNAL SULIT !! MAKIN KESINI MAKIN GA NYAMAN PAKE INDOSAT SINYAL LELET;4;28/01/2024 23:27
Ahmad Dani;Di pesan dapat 1gb karna ada kendala tapi kok gak masuk;2;28/01/2024 23:22
rubini cicik;Tidak bisa diinstall;1;28/01/2024 22:38
Maula Syifa;Pliiiisss kenapa sih IM3 tuh kalo kuota abis suka gak ada notif, tau tau pulsa jebol aja nangis bgt mana kejadiannya keulang teruss??????;1;28/01/2024 22:36
Muhammad Al-Farezel;kuota saya ada 1gb,lalu saya gunakan kemarin itu hanya 500mb,trus pas saya cek kok kuota saya habis?;2;28/01/2024 22:31
Agus Ananto;sementara ini saya puas banget tapi kalo bisa pas mati lampu jaringan jangan sampai hilang oke;5;28/01/2024 21:47
azri faudzan al azhari;good;5;28/01/2024 21:35
ALKENZO ALKENZO;saya suka dengan aplikasi ini;5;28/01/2024 21:18
Rudianto Rudi;ok;5;28/01/2024 21:03
