ï»¿userName,content,at,score
SUKOCO BOY,siip.,13/01/2024 05:47,5
Vestinel,Sinyal ga bs dipake woii,26/01/2024 12:57,1
Paijo Kentok,"Tidak ada pulsa safe, beli paket tidak bisa, tiba-tiba pulsa berkurang 10.000, Operator apa sih,..",22/01/2024 09:20,1
Pacce Taopan,MINTA 1GB,25/01/2024 12:28,5
Nuni Rachmawati,"harga beli paket di aplikasi lebih mahal ketimbang marketplace. banyak pilihan paket di marketplace ada, di app malah tidak ada. kalau ada keluhan ribet harus via email baru bisa, via app yg jawab robot. keluhan via email pun jawaban CS nya tidak memuaskan.",30/01/2024 15:46,2
Juju Dalang,"Kartu babi. Kartu setan. Semakin mahal paket data yg kita beli, semakin jlek jaringan yg ada.. Kartu babi betul..",10/01/2024 14:48,2
IsmiL Kolut,sangat bagus,26/01/2024 08:41,5
Hendra Aja,bagus,11/01/2024 11:37,4
Zhena Zhena,Apakah kah bisa pulsa di kunci dari apk im3,13/01/2024 15:20,4
Ujank Meiyanto,Lama-lama indosat semakin buruk pelayanan buat main apa aja gak nyaman. Apa lagi pas hujan dn mati listrik gak ada sinyal.,23/01/2024 05:54,1
Habib Illah,Benerin sinyal lu jumping2 gajelas,13/01/2024 11:42,1
Agin Aulia,mantap,31/01/2024 22:12,5
Den Aden,Kadang ke babi sinyal nya pihewaeun,28/01/2024 04:07,1
Alfat Novansyah,"Harga naik terus, jaringan makin ampas",29/01/2024 02:31,1
Musthofa Aslam,Sistem pulsanya jelek banget...kaloo nggak punya paket tiba tiba pulsanya berkurang..tidak ada sistem pulsa safe,26/01/2024 11:04,1
Rendi Pangalila,"Jaringan gk jelass suka ilang""",31/01/2024 17:15,1
Cibabat Gaming,baik,15/01/2024 20:07,5
Akhsin Muzadi,"Kuota tiap bulan kok tambah mahal, jaringannya tambah buruk, mending beli Telkomsel aja kalo gini ceritanya",14/01/2024 07:12,1
BGMC ADVENTURE (Alam fatamorgana),"signal lemot, login cek kuota keluarga kenapa ada peraturan akun sekunder akun utama... bikin susah aja... klo ada keluhan di sini, tinggal di tangani saja , ga perlu di jawab lagi suruh WA sana WA sini... lambat. dibaca, dijawab, tapi suruh WA lagi sana sini, tinggal dijelasin sekalian aja disini.",29/01/2024 14:54,1
Hestiawati,sngat bngus sinyalnya kuat,13/01/2024 05:21,5
Ipin Lemahputih,woy balikin puls gwe woy gwe top up di appk ini kgk masuk njing appk gak jelas????????????,23/01/2024 12:54,1
Ayub Prayoga,Saya hutang pulsa 2000 pulsanya ga masuk tapi saat saya isi pulsa kena potong parah saya buang udah kartunya,18/01/2024 15:22,1
Yuni Bms,Saya pengguna m3 sudah lama dulu sebelum bnyak tower provider lain sinyal bagus sekarang sinyal kurang bagus bahkan sering gak ada sinyal,28/01/2024 10:25,2
THE KING OF DUDUT,Udah ngisi 100rb malah gk masuk2 kembali ke setelan jahiliyah,16/01/2024 07:52,1
Reni Deden,Mau nya apa sih Indosat ini masa isi data aja ga bisa,19/01/2024 17:04,1
Avive Kyuby,"Makin nga jelassss ni m3, sinyal sering gangguan!",26/01/2024 13:40,1
Restu Bumi,M3 jaringan internet PAYAH GA GUNA LEMOT MENYESAL PAKAI M3,19/01/2024 11:28,1
Nur Kashimiri,"Update kok malah lemot , saya buka tiktok lancar aja tapi buka aplikasi loading Mulu , mana paket data yang mau dibeli pas promo tau tau ilang pas mau dibeli padahal sebelumnya ada dan suka saya beli tetapi loading lama , begitu saya ulangi untuk membeli paket sudah tidak ada ??? , Alhasil pulsa saya jadi sia sia dan lebih parahnya lagi paket yang mau saya beli tadi muncul beberapa hari kemudian dengan harga 20% lebih mahal ??? Sinyal semenjak gabung sama Three juga jadi jelek gak sampe 200kb/s",18/01/2024 13:12,2
Garuda Denan Tuwe,good,13/01/2024 04:31,5
Budi Prasetyo,"Hari gila.... Gw sampe nyasar"" lagi butuh GPS oii",26/01/2024 13:44,1
Lee Sn,hai Indosat menurut saya kalian harus bikin fitur look pulsa soalnya pulsa sering tibatiba hilang kalau kuota utama udah habis dan gak sengaja ngeaktifin data terus tolong perbaiki masalah kuota yang suka berkurang dengan sendirinya kadang apa yang ditampilin sama bilah tab pemberitahuan dengan myIM3 itu berbeda masalah sinyal yang lemot juga sama harga kuota yng suka naik drastis juga kalau terus lamalama kaga gini mending alih provider lain aja gak sih,20/01/2024 22:20,3
Yuyun Dhe,seru sekali aku suka di kasih Kouta gratis,28/01/2024 01:17,5
Bahrul Ulum,semakin mahal jdi males pake kartu ini lg masa iyh baru kemarin MLM ngisi 8gb eh malam ini baru satu hari dah abis lagi ajh,25/01/2024 15:41,1
Muhammad Maulana,"Sudah off/on kan hp, mode pesawat, tetep aja jaringan gajelas.. kacauuu",19/01/2024 12:45,1
Deri Mda,Bagus,14/01/2024 03:30,5
Ngatumi Selona,sipppp,10/01/2024 02:53,5
BOCIL GAMING,Semenjak ada insiden kantor m3 kebakaran jadi bosok,16/01/2024 17:17,1
Syahril Ril,bagus,26/01/2024 23:23,5
Agustina Anuar,Jelek banget jaringan nya lelet,15/01/2024 07:16,1
Yto Joss,"Kelogout terus heran, tiap mau cek paket kudu login ulang teruuus??",22/01/2024 04:50,1
Bang Rizky,yuuu,31/01/2024 16:27,1
Asep Sunandar,"Baru juga beli perdana IM3, Tpi pas isi paket nggk bisa2, baru pkek aja udh di kecewakan. Pelayanan sangat buruk",31/01/2024 11:56,1
Al Pares,bagus,27/01/2024 09:05,5
Rangga Putra jaya,"Semakin buruk , kembalikan saja yang lama , sangattidak memuaskan bagi pengguna im3",21/01/2024 14:06,1
Rizal Ihwan Sulaiman,"seriusan kecewa dengan perkembangan indosat yang sekarang, makin kesini jaringannya semakin susah dijangkau ga jelas. saya dipakai buat kerja di kota metropolitan seperti jakarta itu jelek banget. udah ga profer pakai indodat yang semakin hari semakin jelek jaringannya apalagi tidak bisa di andalkan buat produktif/kerja. kecewa.",16/01/2024 04:17,1
Lucky Salim Amartya,Tolong percepat proses beli paket kuota nya sampai 1 jam ga masuk masuk,11/01/2024 10:44,2
Fiian_why,"Indosat makin kesini makin ngrugiin buat orang yang on medsos,!!",11/01/2024 05:22,1
Dwi Handayani,sangat bermanfaat,20/01/2024 01:10,5
Syaekhu Khu,Bila perlu tarif kuotanya jangan trlalu tinggi,28/01/2024 07:49,4
Atma Atmaja,ok,11/01/2024 05:06,5
Aditia Raispati,bafus,21/01/2024 12:12,4
Arya Ramansyah,aplikasi yang sangat bagus juga membantu,23/01/2024 14:47,5
Zahera Nur Rohfina,Member impoin aku kok ngestuck di gold sih Waktu itu pas tahun 2021 apa 2022 udah jadi member poin platinum eh pas update malah balik ke gold oke gak masalah sekarang tinggal 230 poin lagi bakal naik setiap kali isi pulsa malah gak dapat lagi impoin aku Gimana loh,14/01/2024 17:54,3
zainur rohman,bagus,11/01/2024 03:49,5
Syahrudin Aja,cukup bagus menarik,21/01/2024 00:39,5
Olivia Meri,bagus,19/01/2024 06:14,5
Maharanieraniey04 Raniey,sangat memuaskan ????,18/01/2024 03:27,5
toni prasetiyo,G jelas ada tebus f bisa di klik. Aku pelanggan dari tahun 2010 aja dibohongi. Parah,26/01/2024 16:23,1
M Zhidny,"Sinyal nya lag,harga kuota mahal tapi sinyal nya ngeleg terus",27/01/2024 12:39,4
Mikael Mikael,murah banget,19/01/2024 12:03,5
Aceng Rukiwa,im3 jelek buruk sinyal nya bintang' nya saya kurangin dua juga cukup karena tida memuaskan kostumer saya kecewa,11/01/2024 04:20,2
Septi Ruliyanti,Good,13/01/2024 03:20,5
Ziowardana Wardana,"mantap promonya,,",30/01/2024 05:13,5
Sandy Aditya,Tiba2 aplikasi nya gabisa di aksespdahal jaringan bagus,18/01/2024 12:50,3
Deni Hidayatulloh,Apk tidak bisa login udah masukin no wa tetap ga bisa login,26/01/2024 13:35,1
Mayaa,Im3 makin jelekkkkkkkkkkk!!! Kuota adaa tapi gabisaa dipakeeeeee kntl,19/01/2024 11:22,1
Ucok Leos,Madeo,16/01/2024 12:31,5
Meilitha Sari,"Beberapa minggu ini kekuatan sinyal sangat buruk, seringkali hilang sinyal dan terputus koneksi tanpa sebab yang jelas",24/01/2024 13:21,1
Jaya 6621,bagus,11/01/2024 15:47,2
Anwar Anwar,baik,17/01/2024 04:04,1
YT3rd,Bg knp jaringan hari ini di medan gak bisa dipake sama sekali????,26/01/2024 13:11,1
Gema Adi praja,Kode otp sering gk masuk,28/01/2024 04:12,1
Elvina,"App nya lemot,misal kepencet panjat kuota udah dipencet keluar, gk mau jg malah ttp kebuka. Dan buat layanan whatsappnya payah bgt. Ada promo flash sale sblm pencet beli udah isi/nambah pulsa sesuai harga flashsale tp pas udh isi malah dibilang pulsa gk ckup dan promo tb2 ilang. Sdh sering begini. Jelek bgt",17/01/2024 01:19,1
Joko Tri Anggono,wouw.. i love my im3,22/01/2024 10:27,4
Ryu Mkz,"Call center nggk becus, kebanyakan konsumen hanya di kasih janji manis, solusi masalah nya tidak ada, andaikan stok kuota sya di sini sudah habis, sya patahkan nih kartu ndk guna, seperti nggk gunanya anggota call center nya",25/01/2024 05:11,1
Imas Dhewa,Jaringan malah tambah ancur Udah d upgrade bukan nya tambah bagus malah tambah jelek,14/01/2024 09:18,1
Erwin,mantab,18/01/2024 13:36,5
krisna batara,bGus,18/01/2024 15:11,5
Uco Bm,kartu anjg event panjat kuotanya bikin emosi,30/01/2024 18:04,1
Slamet sukur,Makin hari makin jelek sinyalnya,30/01/2024 13:42,1
zain hsn cennel,sangat membantu,22/01/2024 02:56,5
Hary prasetyo 94,Bodohhhhh punya m3 pukimakkkk tiap hari nyedot pulsa. tanpa ada pemberitahuan tau tau dipotong padahal tidak berlangganan apa apa. Pukimakkkk punya m3 Babiiiii????????,26/01/2024 13:48,1
Ilham Hidayat,"M3 kalau sinyal kenceng paket penuh tapi lemot , kalau begini terus bakal banyak orang pergi ,buang2 duit percuma paketin banyak kaga berguna",11/01/2024 13:55,1
Vincent Ariska,masih mencoba,14/01/2024 13:12,4
Muhaemind 1928,Mohon diperbaiki lagi pulsa saya udah ke potong tapi kuota nya gak ada,12/01/2024 23:23,5
Yanti Aja,promo masih mahal2 untk kalngan kebwh,20/01/2024 13:43,2
Lia Aja,Sangat baguss??????,28/01/2024 03:08,5
Ngakan Satria84,sinyal IM3 tidak stabil untuk maen game ngelag dan sinyal error' dengan tiba2.. kualitas sinyal tolong lebih stabil agar TDK mengecewakan,24/01/2024 12:50,1
Lusi,sangat membantu..,30/01/2024 13:15,5
idham al hamasah,PROVIDER EEQ SINYAL JELEK BANGET SU,11/01/2024 12:02,1
zulfa nima Fathiyah ahna,"apk gajelas, gamau pake ini lagi",26/01/2024 11:17,1
Yunus M,sangat mmbantu,17/01/2024 14:18,5
Abdullah Fakih,Ok Knnj,29/01/2024 07:09,5
Yona Andi,"Aplikasi sama sinyalnya sama sama bosok,,auto ganti provider lain,,Indosat emang??,,sinyal paling sering eror,,jelek bgt pelayanannya",26/01/2024 13:45,1
Resya Andika,gak jls banget ni apk cuma buka aplikasi nya buat beli paket data malah pulsa berkurang terus,31/01/2024 00:29,2
neo gavin,Pernah beli kuota lewat myim3 12gb.. Tp g bisa dipakai..??emejinggg...beli kuota lg baru bisa..yg sebelum e harus hangus.. INDIRA..???tidak membantuuu....???? Edit Untuk kesekian kalinya performa burukkk...!,26/01/2024 13:26,1
neng noviyanti,sangat membantu dan bagus,15/01/2024 17:06,5
GO-GOON Channel,good,19/01/2024 07:52,5
PDL,Aplikasi tidak berfungsi,23/01/2024 01:48,1
Anton Bagus,Makin update makin buruk pas mau masuk ke apknya malah gak bisa muat ulang Mulu terus saya coba untuk hapus terus download lagi apk nya tapi masih sama muat ulang Mulu hadehh,18/01/2024 12:54,1
Baim Baim,Kssih atuh geratisaya bag,28/01/2024 08:33,1
Firmansyah Abya,Tingkatkan lagi. Terima kasih,15/01/2024 10:40,5
Rizzngrhh,"Lawak, tiap maen dadu panjat kuota selalu pas di baris akhir for close mulu, gmna mau menang kalo di setting trus tiap putaran akhir",21/01/2024 03:37,1
Muhammad Irsyad,"Sinyal buruk, lebih diperbaiki lagi bos kalau buat sinyal, tolol banget",26/01/2024 12:44,1
Bold Bold,Udah beli kuota pembayaran sukses.tapi gagal uang hangus,17/01/2024 15:51,1
Na Na,terima kasih m3,24/01/2024 05:48,1
Apriyanto Tafonao,Aplikasinya susah di buka udah di update tapi susah bukanya,26/01/2024 14:13,1
Nazwa Salsabila,Pket apps nya tdk bisa di pakai,16/01/2024 04:17,1
mark arief,"Menyediakan banyak metode pembayaran tapi sayang tidak bisa di pakai.. Beli paket data dengan pembayaran via shopee pay selalu gagal, kalau sudah tidak bisa pake shopee pay mending hapus saja biar tidak membuat customer kecewa.",22/01/2024 09:40,1
Nabila Bill,paket geratis ??,16/01/2024 11:54,5
Teh Resti,Kenapa gak bisa di instal dan update ulang aplikasi nya,26/01/2024 04:52,2
Nuril AnwaR,??makin kesini makin kesana ya jaringannya,11/01/2024 05:05,1
Maskur,"Harga paketnya naik, isi kuotanya di kurangin. Pokoknya jelek lah. Mending isi ke lain operator",19/01/2024 01:09,1
PINKAN LUSIANA RINJANI,"Kalo udh selesai transaksi, paketan tidak bisa langsung digunakan harus menunggu beberapa menit, padahal lagi urgent...saat ini juga mau transaksi tapi dari tadi hanya proses saja",12/01/2024 12:23,2
Anna Janah,Jujur aplikasi nya emang membantu tpi knp makin kesini harga paket nya makin mahal dan makin boros jadi aku ksi bintang 1,16/01/2024 06:31,1
Nocky Adirori,lelet x astagfirullah.. Paket beli mahal kualitas sangat minim..,26/01/2024 14:10,1
Abdullah Harits,bagus,23/01/2024 00:15,5
Hasbi Saputra,udah gk kaya dlu lgi,17/01/2024 09:27,2
Syarif Muhammad,Kok minta reload terus terusan saat buka perbaiki lah,15/01/2024 13:20,1
Muhammad Ridwan,Bayik,27/01/2024 04:46,5
Ali Jaya,nge lag wae,20/01/2024 11:57,3
Pitri Yuniandini 29,"Jaringan tidak stabil, untuk masuk ke akun saja harus beberapa kali meminta kode verifikasi, itupun pengirimannya sangat lama, ketika dimasukan kode sudah exp. Ketika dicoba kembali, akun pengguna malah diblokir sementara. Sangat mengecewakan, kalo bisa saya kirim ulasan ini tanpa rating sama sekali. Terimakasih",10/01/2024 02:08,1
Abdul Basit,MyIM3 KNP KO PULSA sya ko tiba2 ke.potong aneh kan gx kaya.myIM3 2023 tu yang bagus ni si jelek,28/01/2024 14:54,2
Bawak Deibak,"Tolong lah jaringan jangan ampas,udah jaringan ampas sering ilang tiba2 lagi hdh",26/01/2024 16:09,1
Dwi Diska,"Aplikasi busuk, top up kuota gagal tapi pulsa habis ke potong, laporan gak bisa, mengecewakan",20/01/2024 11:38,1
Rahmadi Rahmadimamuju,Skrng aplikasi ini jelek tiap mau masuk di suruh daftar dlu mana kuat tiap masuk daftar lagi jelek,20/01/2024 03:57,1
Crypto Pro,"Parah, sinyal kacau. Masa engga ada jaringan internet lol. Pantesan gue narik kaga dapet"". Engga taunya engga ada jaringan.",26/01/2024 12:28,1
joker spektrum,"Tanggal 26 januari 2024 dari jam 20.00 sampe sekrang gangguan asem ni sinya im3, g bisa nge game guaaaa",26/01/2024 13:49,1
Alfirdanur Azizah,"TOLONG DONG CEK KENAPA NOMOR SAYA GABISA BUAT INTERNETAN. MENYEBALKAN BANGET! percuma beli paketan mahal"" kalau sering kendala kayak gini. PELAYANAN BURUK ??",26/01/2024 12:59,1
Ramlah Angona,Super,19/01/2024 01:12,5
Ardi Mrt,mantapp,29/01/2024 15:03,5
Adit Maiden,"mau tukar point tidak bisa padahal sebelumnya sebelum di update lancar,kecewa bsnget anj**",15/01/2024 03:39,1
pebi ojeg online,"Parah, seharian kaga sehat",19/01/2024 17:06,1
Fin Lana,Jaringan zimbabwe,26/01/2024 14:10,1
Jani Aliansyah,Setelah beberapa tahun menggunakan IM3 padahal dulu paket kuota nya banyak yang murah. sekarang baru kali ini kecewa karena harga paket kuota nya semakin mahal,27/01/2024 09:50,1
Nas Didin,ok,10/01/2024 13:52,5
ebink nuharitatea,rugi beli kuota m3 baru daftarin paket yg 10 gb gak bisa di pake sma sekali m3 busuk,26/01/2024 13:08,1
Latiful Mutohar,semoga bermanfaat,16/01/2024 12:43,5
Rzal Wp,"Hadeh kuota tinggal 47gb pas di check hilang begitu saja, apakah buka ni apk error habisin data segede itu yah? Masa harus beli lagi hadeh",11/01/2024 09:23,1
Ravenscha Ravens,"Jaringan nya banyak gangguan , padahal di aplikasi nya masih ada 9gb an scrol ig dll malah ga bisa",15/01/2024 22:45,1
Ahmad Manikin,"makin parah lag kacau, hariÂ² gangguan jadi susah",17/01/2024 00:44,1
Aril Sapaah14,Udah beli kok ga masuk sih,18/01/2024 18:19,1
Siti Rosikah,Gk jelas eror lari ke wa mulu,12/01/2024 06:54,1
Ahmad,Jaringan babi,26/01/2024 12:37,1
Rendi Maulana1967,Good,26/01/2024 13:52,5
Made Budi Darmawan,mantap,22/01/2024 12:15,5
Ilham Aditia,Proses nya lama banget sihh kayaknya saatnya ganti kartu nihh,11/01/2024 10:51,1
Tuan Raden,"Percuma ada hp klo pakai kartu sim sampah seprti indosat. Lu smua operator indosat cuna mkn gaji buta. Bukan di perbaiki malah makin hancur . Jaringan data sering gagal koneksi, sinyal tiba"" hilang...itu trjadi setiap wktu. Bukan setiap hari. Jgn para operator taunya cuma bilang cek restart device doang. Ngk ada beda nya. Seumur hidup . Ngk akan gua pake ini kartu sampah",23/01/2024 05:54,1
Dikki Stwn,"Untuk kesekian kali nya gw komplen prihal jaringan,jaringan,jaringan lagi!! Tolong lah,udah beberapa hari ke belakang sampe sekarang,indosat BOBROK,harga kuota mahal,sinyal gak sesuai kualitas,lama lama pindah gw ke sebelah!! Indosat MOHON DI BENERIN LAGI SINYAL NYA!! Kalo bisa ngasih bintang nol,gw kasih indosat bintang 0.",19/01/2024 03:35,1
Akbar Tohid,mantap,18/01/2024 14:59,5
Asep Yudha,mkasih.. tolong perbaiki jaringan sering lemot,10/01/2024 04:49,5
MUHAMMAD LUTFI Lutfi,Tidak bisa internetan padahal paket data 15GB SANGAT AMAT KECEWA,26/01/2024 13:50,1
Aries Agatta,Harus nya ad scan kode nya sih biar praktis,23/01/2024 11:58,4
Bob Raga,jaringanmu kenapa ada indikator sinyal 4g tp gk bisa di pakai bikin emosi aja,26/01/2024 13:40,1
17. Fikar Dzulhilmi,Pembayaran via shopee pay sering error tolong diperbaiki,16/01/2024 03:59,1
andri taroki,baik,23/01/2024 09:37,5
Muhamad Ronaldo,Sigal nya lemot sekali suka mati sendiri signal nya mana lama lagi stabil nya aku suka buat kulya jdi ribet urusan signal ini kagak bisa di andelin payah,17/01/2024 06:59,1
Marvian,"kartu KOCAK pinjem pulsa darurat pulsa belum masuk tapi tagihan sudah tercatat. KOCAK udah gitu cuma 1k pulsa yang bisa di pinjem. udah paketan mahal, sistem nya KOCAK!",18/01/2024 15:04,1
Aldy Adzan,Gajelas,26/01/2024 12:30,1
Muhammad nashrul Resiyatmaja,Sudah di reset bahkan hapus lalu download lagi kode otp belum terkirim,11/01/2024 11:11,1
Ahmad Zaen12 channel,Jangan apk aja di upgrade. Minimal jaringannya juga diupgrade,31/01/2024 09:16,1
Faizrizki Febrian,"main panjat kouta cuma di mainin sama system doang gua ga dapet""",11/01/2024 00:47,2
Rima Rismayanti,Aplikasinya nge-lag. Ngga bisa dibuka sama sekali. Payah nihhhh,12/01/2024 14:41,2
edi Kusnadi,cukup bagus didaerah ku,25/01/2024 13:30,4
Ool fatfat,"Parah sih gw beli paket pembayarannya pake dana sampe sekarang paket nya ga masuk, udah gw chat ke cs udah ngajuin laporan tetep aja ga ada ijab qobul nya hahaha parah bgt indosat",23/01/2024 09:25,1
BINTANG RAGELA,"makin lama makin aneh ini provider, jaringan ilang tiba-tiba, harga ga jelas suka berubah-ubah drastis, benerin dong kalau naruh harga juga jangan drastis beda jauh banget antara hari sebelumnya sama hari setelahnya",23/01/2024 04:24,1
Muhammad Ilmi,Apk buruk sinyal ga pernah bagus,23/01/2024 10:18,1
Atep otorepair,sudah di riset di rebot reestar terep aja .makin parah sinyal ini gimna ya panas aja hp kaya mw meldak.hadeh toloang dong perbaiki jangan bikin atreees consumen jangan bikin binggunag pelanggan,17/01/2024 15:01,1
Atih Atih,bagus,20/01/2024 17:52,5
Muhammad Kahfi,Lag klw diluar rumah,11/01/2024 06:16,1
Rizky Bakti Kurniawan,Saya isi paket kuota yg 30GB tau tau hilang dan tergantikan pinjaman kuota 700MB 4hari.. kok bisa sih? Kenapa langsung berganti dan hangus aja kuota utama saya kenapa tidak ada pertanyaan sebelum mengganti kuota utama atau kenapa harus menghilangkan paket utama?,30/01/2024 21:10,1
Lucky Indrawan,"Sinyal hilang""",27/01/2024 08:35,1
Pray Listrik,apk ny Sangat bagus,20/01/2024 09:54,5
abdul muthalib,mantaaaaaaaap,17/01/2024 16:15,5
Mochamad gofur Gofur,"Maaf ka, ini aplikasi yg baru begini sih. Semangkin diupdet semangkin buruk saja aplikasinya saya isi pulsa sekian tau"" tdk ada tau"" tgl"" 2ribu. Mohon donk dibalikin keaplikasi lama lg ka",22/01/2024 12:15,1
Safria Nto,mantap IM3 q....,26/01/2024 10:06,5
Rizki Gunawan,Jaringan nya jelek bikin gua kesel aja gua lagi main eh Tiba tiba ngeleg,23/01/2024 09:21,1
yasir JANGGER,keren,30/01/2024 20:26,5
bagas anggara,Sudah membeli paket tidak dapat menggunakan aplikasi susah dibuka Kalau tidak ada Kouta ASTAGA,26/01/2024 13:47,1
Adang Ahmadi,saya suka,10/01/2024 04:00,5
Dede rosadi,semoga lancar,28/01/2024 08:42,5
Andi Suwandi,sngt baik,26/01/2024 20:30,4
Rudianto Rudi,ok,28/01/2024 21:03,5
Khoirul Mufid,Kenapa sisa kuota gak diakumulasi bos tiap beli kuota baru kyk provider sebelahhh Hooh tenaaan,13/01/2024 11:12,1
Mhyzu,Beli kuota diproses muluuuu,14/01/2024 06:02,1
ISMAIL MaiL nippon,good,22/01/2024 03:43,5
Grand Max,Makin kesini semakin aku pengen ganti kartu. Karna im3 yg skarang sangat buruk se buruk buruknya taiii,24/01/2024 11:40,1
Yudha Yogaswara,Jaringan lemot kocag,10/01/2024 08:33,1
Joni Iskandar,Maaf saya kasi bintang empat dulu ya kerena di tempat kami kalo mati lampu sering koneksi internet nya ilang dan sering ilang tiba2 mohon perbaikan nya sebenar nya saya suka sih dengan ada nya Indosat ini tapi tolong lah perbaiki jaringan nya oke itu aja ulasan dari saya terima kasi atas kerja samanya,28/01/2024 10:22,4
fitriani dewi,baik,13/01/2024 23:31,4
Rizkie Teguh,baguuus,21/01/2024 15:39,5
Ratu Kaisa,bagus,24/01/2024 13:49,5
Ariyan Fahmi,Kecewa sma m3 sekarang,11/01/2024 04:24,2
Idin Dewa,No baru saya g dapet bonus kuota bos?,18/01/2024 14:34,5
Deni Pratama,Semakin sering diupdate semakin mahal pula paketan mantap????,26/01/2024 17:39,1
Nurhaeda Nurhaeda,good app,26/01/2024 12:44,5
ANAK ANGKAT ILHAM,mini games tidak fair di beri angka yang sama terus,13/01/2024 16:44,1
Achwal abdi putra,Jaringan gak stabil sering eror parah semakin hari semakin jelek jaringan nya,14/01/2024 12:31,1
beruang kero,Jaringan kalian kenapa ya....biasanya malam itu selalu down sekarang pagi dan siang juga down......fitur lapor jaringan ada dimana ya....dah lah mending kalian ganti kartu aja,10/01/2024 02:16,1
Lutfi Indarsih,"Em3 makin ga jelas daptar kartu makin susah masa kaya gni trus bnyak yang mengluh Maaf aktivasi kartu IM3 gagal, pastikan nomor ini memiliki Freedom Internet 30hr atau pulsa min 10rb. Ulangi proses aktivasi prabayar melalui 4444",20/01/2024 11:01,1
Erlangga Pratama,kenapa saya tidak biasa menukar kan ompoin saya,15/01/2024 06:44,5
Agus Waluyo,"Mohon untuk memperbaiki sinyal internet di tempat kami,kususnya desa nuar maju,Buay Bahuga,way kanan Lampung??.",11/01/2024 13:01,1
adi Setiawan,Katanya signal kuat bukak youtube 180pxl aja gk jalan,26/01/2024 13:14,1
Rifki Rifki,Sering eror,25/01/2024 12:37,1
Tomy Perz,Woy yatim sinyalnya benerin lah amj gk ada diskon khusus lagi,26/01/2024 00:41,1
Ekahari 31,"Indosat Saiki angel sinyale kuota mahal tpi sinyal ilang""an",11/01/2024 04:41,1
Fadli Kasep,Min sinyal IndosatCare kenapa jdi ngeleng kaya gini gua udh 5 thun penggunaan IndosatCare tpi baru kaya gini ngeleg ga jelas tolong min kerja samanya,19/01/2024 16:01,3
Rayvil Manopo,bagus,19/01/2024 23:53,5
Eko Tri,Beli kouta di aplikasi ini proses nya lama sekali,24/01/2024 05:46,1
I putu yudi Ardiansah,Jaringn indosat lemot kadang bagus kadang lemotx lama2 diperbaiki dong spya bisa bersaing sm si merah tel...,26/01/2024 13:22,1
Kafka_ Official,"Makasih minta udh dibenerin jaringannya,, sekarang sudah membaik dan semoga IM3 makin sukses terus,, OIYA UNTUK PAKET DATANYA SEMOGA DI MURAHIN LAGI ATAU KASIH PROMO GITU HEHEHE?? Aku kasih bintang 5 pokoknya... IM3 THE BEST!!!!",24/01/2024 08:08,5
bang ON ON,Kasih ajah,26/01/2024 12:55,2
Saipul hajarbooz,bagus,31/01/2024 14:00,4
Petot Bgt,bangke lah pulsa kepotong gak jelas gak ada notif apa2 .. pulsa safe ?? tttaaaiii,29/01/2024 07:34,1
Rendy Satria Utomo,Sekarang jaringan di wilayah saya sudah menarik tp mungkin terus tingkatkan perluasan jaringan internet di seluruh kabupaten/kota Indonesia. tinggal nunggu 5G aja nih di wilayah saya hehe,26/01/2024 06:38,5
Andy Pratama,"Signal nya juga kurang mendukung, kirain setelah di update ada kinerja lbh baik lagi, dan setelah di update juga jadi harga agak mahal pula??????",19/01/2024 20:03,1
Edo Skuk,apk gjls,26/01/2024 13:35,1
Wijard Haste,ok,22/01/2024 13:28,5
victor,Updated makin jelek kuota masih banyak di kiri. Kuota anda sudah habis apaan. Nihh trus buka aplikasi ngak bisa padahal kuota masih banyak 4 gb kan banyak truss angka bisa buka apaan nih . dan satu lagi poin saya ko bisa ilang gimana nih poin saya udah banyak setiap saya isi paket.isi paket aja saya paling kecil 9 gb dab saya isi paket 16 gb trus poin nya bertambah sekali saya liat poin saya ilang,10/01/2024 17:04,1
Zidane Ramadhan,Curang Indosat!! Kan gua harusnya dapet ni kuota gratis dari game panjat kuota nah ko tulisan eror malah ga dapet udah 2Ãmalahan emang parah ini Indosat padahal gua gabut biar tambahÂ² kuota malah curang ni ga bener ganti ae lah,20/01/2024 16:40,1
Candi Borobudur,Okett,31/01/2024 10:47,2
Antok Saputri,oke,11/01/2024 08:13,4
Siti Aminah,bagusss,18/01/2024 11:03,5
Utis Sutisna,sangat membantu,11/01/2024 08:20,5
N GAMING,im3 ini ampun kartu kuota nya paling boros mana kuota gratisnya jarang dpt dpt pun sedikit banget,10/01/2024 23:46,2
Herianto Heri,sangat bagus,26/01/2024 10:10,5
stevie van yoost,"kadang2 signal tiba2 hilang,.",30/01/2024 05:57,4
Achild ygyg,Sinyal busuk..beli pket ga ad lancar nya sekali,19/01/2024 14:17,1
tuman rio,Mending ganti operator lain saya dah lama langanan tapi saya punya komplaint gak pernah di peroses dengan baik sinyal gak stabil padahal saya berada di kota tapi sinyal buruk ganguan terus noton yutub loding lama buat vidio call patah2 apalagi buat game parah saya merasakan 1 bulan gak ada perubahanya,30/01/2024 11:54,1
bima bima,di usahakan jangan terlalu sering ada kendala,12/01/2024 11:40,4
Pak Supriyadi,Ok bagus??,27/01/2024 14:35,5
Dwi Kurniawan,IM3 pelitttttt,13/01/2024 06:07,2
